# name_zh|official_name|stage|rating|category|work|aliases|signature
贝姆拉|BEMULAR|1|D|宇宙怪兽|《奥特曼》||青色热光线与近身冲撞
内隆嘎|NERONGA|1|D|透明怪兽|《奥特曼》||隐身、吸收电力与双角放电
加勃拉|GABORA|1|D|铀怪兽|《奥特曼》||放射能摄取、头部六瓣甲壳与冲撞
吉拉斯|JIRAHS|1|D|襟卷怪兽|《奥特曼》||颈部襟卷、怪力与尾击
佩斯塔|PESTER|1|D|油兽|《奥特曼》||吞食石油、喷火与双首夹击
凯姆拉|KEMULAR|1|D|毒气怪兽|《奥特曼》||口部毒气与沉重撞击
贾米拉|JAMILA|1|C+|棲星怪兽|《奥特曼》||高热火焰与对水的致命弱点
史盖顿|SKYDON|1|C+|晴空怪兽|《奥特曼》||超高体重、坚固表皮与压倒性惯性
西博兹|SEABOZU|1|D|亡灵怪兽|《奥特曼》||巨大骨质躯体与强韧怪力
扎拉加斯|ZARAGAS|1|C+|变身怪兽|《奥特曼》||闪光与受击后的适应强化
杰罗尼蒙|GERONIMON|1|B-|怪兽酋长|《奥特曼》||念力、羽毛飞针与复活怪兽
匹格蒙|PIGMON|1|D|友好珍兽|《奥特曼》||敏锐警觉、沟通与引导
雷德王二代|RED KING II|1|D|骷髅怪兽|《奥特曼》||怪力、岩石投掷与正面搏斗
哥美斯|GOMESS|1|D|古代怪兽|《奥特Q》||掘进、咬击与尾击
帕戈斯|PAGOS|1|D|铀怪兽|《奥特Q》||地下掘进、分子结构破坏光线与突袭
卡内贡|KANEGON|1|D|硬币怪兽|《奥特Q》||吞食钱币、灵活逃窜与非战斗性互动
M1号|M1|1|D|人工生命|《奥特Q》||高智力、模仿与耐久生命力
美尔巴|MELBA|1|C+|超古代龙|《迪迦奥特曼》|梅尔巴|高速飞行、眼部光线与俯冲爪击
哥尔赞|GOLZA|1|C+|超古代怪兽|《迪迦奥特曼》||掘进、额部超音波光线与能量吸收
杰顿|ZETTON|2|B|宇宙恐龙|《奥特曼》||瞬移、一兆度火球、屏障与光线吸收反射
杰顿二代|ZETTON II|2|B-|宇宙恐龙|《归来的奥特曼》||火球、屏障与近身格斗
贝蒙斯坦|BEMSTAR|2|B-|宇宙大怪兽|《归来的奥特曼》||腹部吸收口、光线吞噬与啄击
萨沃尔斯王三世|KINGSAURUS III|2|B-|古代怪兽|《归来的奥特曼》|王者萨沃尔斯三世|透明屏障、角部光线与冲撞
普利茨魔|PRIS-MA|2|B-|光怪兽|《归来的奥特曼》|普利茨玛|光能吸收、结晶化躯体与高热光线
黑王|BLACK KING|2|B|保镖怪兽|《归来的奥特曼》||高耐久、怪力与头角突击
希波利特星人|ALIEN HIPPORIT|2|B|地狱星人|《艾斯奥特曼》||希波利特焦油、封闭胶囊与光线
嘎次星人|ALIEN GUTS|2|B-|分身宇宙人|《奥特赛文》|噶次星人|分身、瞬移、束缚十字架与战术分析
火焰哥尔赞|FIRE GOLZA|2|B|强化超古代怪兽|《迪迦奥特曼》|强化哥尔赞,哥尔赞强化形态|熔岩强化、能量吸收与强化超音波光线
希尔巴贡|SILVERGON|2|B-|刚力怪兽|《迪迦奥特曼》||怪力、坚固表皮与受限视野
迪玛迦|DEMAAGA|2|B-|熔铁怪兽|《艾克斯奥特曼》||熔铁热射线、背部火焰与怪力
格斯拉王|KING GUESRA|2|B-|海兽|《超奥特8兄弟》|金古桥斯拉王|毒刺、巨体冲撞与水陆两栖行动
EX雷德王|EX RED KING|2|B+|EX进化怪兽|《大怪兽格斗》||爆炎拳、超怪力与强化甲壳
EX艾雷王|EX ELEKING|2|B|EX进化怪兽|《大怪兽格斗》||强化电击、尾部放电与高速格斗
EX哥莫拉|EX GOMORA|2|B+|EX进化怪兽|《大怪兽格斗》||EX超振动波、伸缩重尾与全身棘甲
EX杰顿|EX ZETTON|2|A|EX进化宇宙恐龙|《大怪兽格斗》||强化火球、瞬移、屏障与光线反射
吉迈拉|GYMAIRA|2|B|吸血怪兽|《爱迪奥特曼》||吸血、怪兽操纵光线与怪力
萨拉曼多拉|SARAMANDORA|2|B-|再生怪兽|《爱迪奥特曼》||高速再生、火焰与钳状尾部
伊卡尔斯星人|ALIEN ICARUS|3|C+|异次元宇宙人|《奥特赛文》||异次元移动、箭形光线与怪力
帝国星人|ALIEN TEMPEROR|3|B+|极恶宇宙人|《泰罗奥特曼》||双手光线、火焰与近战压制
匹特星人|ALIEN PITT|3|C|变身宇宙人|《奥特赛文》||拟态、催眠与怪兽操纵
佩盖萨星人|ALIEN PEGASSA|3|C|放浪宇宙人|《奥特赛文》||拟态、隐蔽活动与宇宙技术
巴巴尔星人|ALIEN BABARUE|3|B-|暗黑宇宙人|《雷欧奥特曼》||拟态、飞行与链状武器
瓦尔基星人|ALIEN VALKY|3|C+|宇宙海人|《泰罗奥特曼》||火焰、敏捷格斗与水域行动
巴特星人|ALIEN BAT|3|B|触角宇宙人|《奥特曼传奇》||怪兽兵器控制、能量弹与空间技术
巴罗萨星人|ALIEN BAROSSA|3|B-|海贼宇宙人|《泽塔奥特曼》||掠夺武器、巨大化与多样宇宙道具
卡南星人|ALIEN CANNAN|3|C+|头脑宇宙人|《奥特赛文》||机械操纵、催眠电波与寒冷环境适应
夏德星人|ALIEN SHADOW|3|C+|暗杀宇宙人|《奥特赛文》||拟态、爆破装置与秘密渗透
扎姆夏|ZAMSHER|3|B+|宇宙剑豪|《梦比优斯奥特曼》||星斩丸、高速剑术与能量斩击
雷布朗多星人|ALIEN REIBLOOD|3|A+|究极生命体|《大怪兽格斗》|雷布拉德星人|精神寄生、怪兽支配与雷奥尼克斯力量
亚波人|YAPOOL|3|B|异次元人|《艾斯奥特曼》||异次元空间、怨念再生与超兽制造
艾斯杀手|ACE-KILLER|4|B+|异次元超人|《艾斯奥特曼》||复制奥特兄弟技能与能量射击
巨大亚波人|GIANT YAPOOL|4|B+|异次元超人|《艾斯奥特曼》||异次元能力、超兽控制与多重光线
巴拉巴|BARABA|4|B|杀手超兽|《艾斯奥特曼》||头部飞剑、左手流星锤与右手镰刀
阿里蓬塔|ARIBUNTA|4|B-|大蚁超兽|《艾斯奥特曼》||火焰、蚁酸与地底突袭
强博王|JUMBO KING|4|B+|最强超兽|《艾斯奥特曼》||复合火焰、导弹与眼部光线
鲁纳蒂克斯|LUNATICKS|4|B|满月超兽|《艾斯奥特曼》||眼球爆弹、岩浆火焰与掘进
阿斯托罗姆斯|ASTROMONS|4|B|宇宙大怪兽|《泰罗奥特曼》||腹部捕食花、鞭藤与火焰
赛文加|SEVENGER|4|C+|胶囊机器人|《雷欧奥特曼》《泽塔奥特曼》||近战格斗、短时运转与型号差异武装
乌英达姆|WINDOM|4|C+|胶囊怪兽|《奥特赛文》《泽塔奥特曼》||额部激光、飞行与机械化型号导弹
米克拉斯|MICLAS|4|C+|胶囊怪兽|《奥特赛文》||怪力、电击抗性与冲撞
阿基拉|AGIRA|4|C+|胶囊怪兽|《奥特赛文》||高速奔袭、头角攻击与灵活格斗
机械哥莫拉|MECHA GOMORA|4|B+|机械怪兽|《赛罗奥特曼外传》||粉碎兆能量炮、导弹与机械超振动波
黑暗洛普斯赛罗|DARKLOPS ZERO|4|B+|机械奥特战士|《赛罗奥特曼外传》||次元核心、洛普斯射击与头镖
雷吉内德|LEGIONOID|4|B|帝国机械兵|《超决战！贝利亚银河帝国》||枪炮型号与格斗型号的制式武装
加拉特隆|GALACTRON|4|B+|文明裁决机器|《欧布奥特曼》||加拉特隆之轴、魔法阵、光线与装甲
乌尔特洛伊德赛罗|ULTROID ZERO|4|A|特空机|《泽塔奥特曼》||D4射线、全身火器与高机动推进
特拉菲扎|TERRAPHASER|4|A|电脑魔人|《德凯奥特曼》||TR兆级破坏炮、德拉姆加农与高速飞行
暗黑铠甲|ARMORED DARKNESS|4|A|黑暗魔铠装|《梦比优斯外传》||黑暗纹布、暗黑三叉戟与自律再生
U杀手萨乌鲁斯|U-KILLERSAURUS|4|A|究极超兽|《梦比优斯与奥特兄弟》||触手光线、能量吸收与多向炮击
卡蜜拉|CAMEARRA|5|A|爱憎战士|《迪迦奥特曼最终圣战》||光鞭、光剑与黑暗能量
达拉姆|DARRAMB|5|B+|刚力战士|《迪迦奥特曼最终圣战》||极限蛮力、火焰冲拳与地面震击
希特拉|HUDRA|5|B+|俊敏战士|《迪迦奥特曼最终圣战》||高速移动、光刃与空中格斗
邪恶迪迦|EVIL TIGA|5|B+|邪恶巨人|《迪迦奥特曼》||邪恶射线、格斗与能量爆发
蒙斯王|KING OF MONS|5|A|最强合体兽|《盖亚奥特曼：超时空大决战》||骨翼切割、能量弹与召唤巴吉利斯、斯休拉
玛伽大蛇|MAGA-OROCHI|5|A|大魔王兽|《欧布奥特曼》||玛伽迅雷、能量吞噬与高耐久
玛伽八岐大蛇|MAGA TANO-OROCHI|5|A+|超大魔王兽|《欧布奥特曼》||全身魔王兽器官、能量吸收与多属性攻击
赛高古|ZAIGORG|5|A|阎魔兽|《艾克斯奥特曼剧场版》||地狱释放、棘刺武装与召唤戈古怪兽
古迪斯|GUDIS|5|A|邪恶生命体|《葛雷奥特曼》||细胞感染、怪兽制造与精神侵蚀
超级古迪斯|SUPER GUDIS|5|A+|传说邪恶生命体|《葛雷奥特曼》||行星级细胞同化、精神攻击与再生
科达拉|KODALAR|5|A|传说深海怪兽|《葛雷奥特曼》||能量吸收反射、怪力与海域适应
希拉利|KILAZEE|5|A|传说宇宙怪兽|《葛雷奥特曼》||飞行、光线、怪力与科达拉联合作战
五帝王|FIVE KING (SDU)|6|A|超合体怪兽|《银河奥特曼S》|法伊布王|融合火焰哥尔赞、美尔巴、加恩Q、雷丘巴斯与超戈布能力
三帝王|TRI-KING|6|B+|合体怪兽|《泽塔奥特曼》||融合哥尔赞、美尔巴与超戈布的光线和飞行器官
杰庞顿|ZEPPANDON|6|A|合体魔王兽|《欧布奥特曼》||杰顿火球、庞敦火焰、瞬移与屏障
佩丹尼姆杰顿|PEDANIUM ZETTON|6|A|贝利亚融合兽|《捷德奥特曼》||佩丹尼姆流星、杰顿火球、屏障与重装格斗
古兰特王|GRAND KING|6|A|超合体怪兽|《奥特物语》||全身炮口、装甲与古兰激光
超级古兰特王|SUPER GRAND KING|6|A+|强化超合体怪兽|《银河奥特曼》||强化装甲、多向炮击与高能光线
玛伽古兰特王|MAGA-GRAND KING|6|A|土之魔王兽|《欧布奥特曼》||玛伽穿孔、坚固装甲与地脉能量
超戈布|SUPER C.O.V.|6|B+|宇宙战斗兽|《盖亚奥特曼》||双腕镰刀、头部光弹与强韧近战
雷丘巴斯|REICUBAS|6|B|宇宙海兽|《戴拿奥特曼》||冰火双重喷射、钳击与低温适应
斯菲亚扎沃尔斯|SPHERESAURUS|6|A|精强融合兽|《德凯奥特曼》||斯菲亚屏障、能量吸收与多重冲击波
斯菲亚尼奥美加斯|SPHERE-NEOMEGAS|6|A|新创合成兽|《德凯奥特曼》||强化怪力、斯菲亚光弹与同化再生
斯菲亚梅加洛杰厄|SPHERE-MEGALOTHOR|6|A+|邪神合成兽|《德凯奥特曼》||黑暗吸收、斯菲亚增幅与多向光线
戴亚博里古|DIABOLIC|6|A|奇机怪兽|《欧布奥特曼剧场版》|迪亚博里古|宝石化光线、机械火器与高速变形
鲁格赛特|LEUGOCYTE|7|A+|宇宙吞噬者|《罗布奥特曼》||创世安魂曲、能量刃与行星生态毁灭
吉尔巴利斯|GILLVALIS|7|A+|巨型人工头脑|《捷德奥特曼剧场版》||文明重置、加拉特隆军团与终极审判光线
艾塔尔加|ETELGAR|7|A+|超时空魔神|《奥特十勇士》||时空城、镜像封印与高强度格斗
吉咖奇美拉|GIGA KHIMAIRA|8|S|究极合体怪兽|《超奥特8兄弟》||六体怪兽融合、多头光线与巨型翼尾攻击
贝琉多拉|BERYUDORA|8|S|百体怪兽|《大怪兽格斗超银河传说》||怪兽墓场百体融合、怨念触手与贝琉多拉炼狱
U杀手萨乌鲁斯·新|U-KILLERSAURUS NEO|8|S|究极超兽强化体|《梦比优斯与奥特兄弟》|新U杀手萨乌鲁斯|多名奥特战士能量融合、巨型触手与全方位歼灭光线
